name,year,album,lyricist,arranger
可愛女人,2000,杰倫,徐若瑄,周杰倫
完美主義,2000,杰倫,方文山,洪敬堯
星晴,2000,杰倫,周杰倫,洪敬堯
娘子,2000,杰倫,方文山,周杰倫
鬥牛,2000,杰倫,方文山,洪敬堯
黑色幽默,2000,杰倫,周杰倫,鍾興民
伊斯坦堡,2000,杰倫,徐若瑄,洪敬堯
印地安老斑鳩,2000,杰倫,方文山,洪敬堯
龍捲風,2000,杰倫,徐若瑄,鍾興民
反方向的鐘,2000,杰倫,方文山,周杰倫
愛在西元前,2001,范特西,方文山,林邁可
爸 我回來了,2001,范特西,周杰倫,周杰倫
簡單愛,2001,范特西,徐若瑄,林邁可
忍者,2001,范特西,方文山,林邁可
開不了口,2001,范特西,徐若瑄,洪敬堯
上海一九四三,2001,范特西,方文山,林邁可
對不起,2001,范特西,方文山,洪敬堯
威廉古堡,2001,范特西,方文山,洪敬堯
雙截棍,2001,范特西,方文山,鍾興民
安靜,2001,范特西,周杰倫,鍾興民
半獸人,2002,八度空間,方文山,林邁可
半島鐵盒,2002,八度空間,周杰倫,林邁可
暗號,2002,八度空間,許世昌,林邁可
龍拳,2002,八度空間,方文山,洪敬堯
火車叼位去,2002,八度空間,方文山,洪敬堯
分裂,2002,八度空間,周杰倫,鍾興民
爺爺泡的茶,2002,八度空間,方文山,林邁可
回到過去,2002,八度空間,劉耕宏,林邁可
米蘭的小鐵匠,2002,八度空間,方文山,洪敬堯
最後的戰役,2002,八度空間,方文山,鍾興民
以父之名,2003,葉惠美,黃俊郎,洪敬堯
懦夫,2003,葉惠美,周杰倫,周杰倫
晴天,2003,葉惠美,周杰倫,周杰倫
三年二班,2003,葉惠美,方文山,洪敬堯
東風破,2003,葉惠美,方文山,林邁可
妳聽得到,2003,葉惠美,曾郁婷,林邁可
同一種調調,2003,葉惠美,方文山,鍾興民
她的睫毛,2003,葉惠美,方文山,周杰倫
愛情懸崖,2003,葉惠美,徐若瑄,鍾興民
梯田,2003,葉惠美,周杰倫,周杰倫
雙刀,2003,葉惠美,方文山,鍾興民
我的地盤,2004,七里香,方文山,洪敬堯
七里香,2004,七里香,方文山,鍾興民
藉口,2004,七里香,周杰倫,周杰倫
外婆,2004,七里香,周杰倫,周杰倫
將軍,2004,七里香,黃俊郎,洪敬堯
擱淺,2004,七里香,宋健彰,鍾興民
亂舞春秋,2004,七里香,方文山,鍾興民
困獸之鬥,2004,七里香,劉耕宏,蔡科俊
園遊會,2004,七里香,方文山,洪敬堯
止戰之殤,2004,七里香,方文山,周杰倫
夜曲,2005,11月的蕭邦,方文山,林邁可
藍色風暴,2005,11月的蕭邦,方文山,洪敬堯
髮如雪,2005,11月的蕭邦,方文山,林邁可
黑色毛衣,2005,11月的蕭邦,周杰倫,林邁可
四面楚歌,2005,11月的蕭邦,周杰倫,洪敬堯
楓,2005,11月的蕭邦,宋健彰,鍾興民
浪漫手機,2005,11月的蕭邦,方文山,洪敬堯
逆鱗,2005,11月的蕭邦,黃俊郎,鍾興民
麥芽糖,2005,11月的蕭邦,方文山,洪敬堯
珊瑚海,2005,11月的蕭邦,方文山,鍾興民
飄移,2005,11月的蕭邦,方文山,林邁可
一路向北,2005,11月的蕭邦,方文山,蔡科俊
夜的第七章,2006,依然范特西,黃俊郎,鍾興民
聽媽媽的話,2006,依然范特西,周杰倫,林邁可
千里之外,2006,依然范特西,方文山,林邁可
本草綱目,2006,依然范特西,方文山,林邁可
退後,2006,依然范特西,宋健彰,林邁可
紅模仿,2006,依然范特西,周杰倫,林邁可
心雨,2006,依然范特西,方文山,林邁可
白色風車,2006,依然范特西,周杰倫,蔡科俊
迷迭香,2006,依然范特西,方文山,鍾興民
菊花台,2006,依然范特西,方文山,鍾興民
牛仔很忙,2007,我很忙,黃俊郎,鍾興民
彩虹,2007,我很忙,周杰倫,林邁可
青花瓷,2007,我很忙,方文山,鍾興民
陽光宅男,2007,我很忙,方文山,周杰倫
蒲公英的約定,2007,我很忙,方文山,林邁可
無雙,2007,我很忙,方文山,鍾興民
我不配,2007,我很忙,方文山,林邁可
扯,2007,我很忙,方文山,林邁可
甜甜的,2007,我很忙,方文山,林邁可
最長的電影,2007,我很忙,周杰倫,鍾興民
龍戰騎士,2008,魔杰座,方文山,鍾興民
給我一首歌的時間,2008,魔杰座,周杰倫,林邁可
蛇舞,2008,魔杰座,黃俊郎,黃雨勳
花海,2008,魔杰座,"古小立, 黃凌嘉",黃雨勳
魔術先生,2008,魔杰座,方文山,鍾興民
說好的幸福呢,2008,魔杰座,方文山,鍾興民
蘭亭序,2008,魔杰座,方文山,鍾興民
流浪詩人,2008,魔杰座,方文山,蔡科俊
時光機,2008,魔杰座,方文山,黃雨勳
喬克叔叔,2008,魔杰座,黃俊郎,黃雨勳
稻香,2008,魔杰座,周杰倫,黃雨勳
跨時代,2010,跨時代,黃俊郎,黃雨勳
說了再見,2010,跨時代,"古小立, 黃凌嘉",鍾興民
煙花易冷,2010,跨時代,方文山,黃雨勳
免費教學錄影帶,2010,跨時代,黃俊郎,蔡科俊
好久不見,2010,跨時代,周杰倫,蔡庭貴
雨下一整晚,2010,跨時代,方文山,鍾興民
嘻哈空姐,2010,跨時代,方文山,林邁可
我落淚 情緒零碎,2010,跨時代,方文山,鍾興民
愛的飛行日記,2010,跨時代,方文山,蔡科俊
自導自演,2010,跨時代,周杰倫,黃雨勳
超人不會飛,2010,跨時代,周杰倫,林邁可
驚嘆號,2011,驚嘆號,方文山,林邁可
迷魂曲,2011,驚嘆號,方文山,林邁可
Mine Mine,2011,驚嘆號,周杰倫,林邁可
公主病,2011,驚嘆號,周杰倫,黃雨勳
你好嗎,2011,驚嘆號,"羅宇軒, 李汪哲",黃雨勳
療傷燒肉粽,2011,驚嘆號,周杰倫,林邁可
琴傷,2011,驚嘆號,方文山,黃雨勳
水手怕水,2011,驚嘆號,黃俊郎,周杰倫
世界未末日,2011,驚嘆號,方文山,林邁可
